region,date,weekday,weekend,red_day,avalanche,DangerLevel,CloudCoverId,Nedbor,Vindstyrke,Temperatur_min,Temperatur_max,AvalProbabilityId_0,AvalCauseId_0,DestructiveSizeId_0,AvalTriggerSimpleId_0,AvalProbabilityId_3,AvalCauseId_3,DestructiveSizeId_3,AvalTriggerSimpleId_3,AvalProbabilityId_5,AvalCauseId_5,DestructiveSizeId_5,AvalTriggerSimpleId_5,AvalProbabilityId_7,AvalCauseId_7,DestructiveSizeId_7,AvalTriggerSimpleId_7,AvalProbabilityId_10,AvalCauseId_10,DestructiveSizeId_10,AvalTriggerSimpleId_10,AvalProbabilityId_30,AvalCauseId_30,DestructiveSizeId_30,AvalTriggerSimpleId_30,AvalProbabilityId_45,AvalCauseId_45,DestructiveSizeId_45,AvalTriggerSimpleId_45,AvalProbabilityId_50,AvalCauseId_50,DestructiveSizeId_50,AvalTriggerSimpleId_50
3003,2017-12-01,5,0,0,0,1,20,2,Bris,-14,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,2,10,0,0,0,0,0,0,0,0,0,0,0,0
3007,2017-12-01,5,0,0,0,2,30,2,Stiv kuling,-10,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,2,21,3,19,2,21,0,0,0,0,0,0,0,0
3009,2017-12-01,5,0,0,0,2,30,3,Stiv kuling,-15,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,2,21,3,19,2,21,0,0,0,0,0,0,0,0
3010,2017-12-01,5,0,0,0,2,30,7,Stiv kuling,-10,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,2,21,3,19,2,21,0,0,0,0,0,0,0,0
3011,2017-12-01,5,0,0,0,2,30,6,Stiv kuling,-6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,2,21,3,19,2,21,0,0,0,0,0,0,0,0
3012,2017-12-01,5,0,0,0,2,30,8,Stiv kuling,-8,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,2,21,3,19,2,21,0,0,0,0,0,0,0,0
3013,2017-12-01,5,0,0,0,2,30,4,Frisk bris,-16,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,2,21,3,19,2,21,0,0,0,0,0,0,0,0
3014,2017-12-01,5,0,0,0,2,30,12,Sterk kuling,-5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,2,21,0,0,0,0,0,0,0,0,0,0,0,0
3015,2017-12-01,5,0,0,0,2,30,9,Stiv kuling,-13,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,2,10,0,0,0,0,0,0,0,0
3016,2017-12-01,5,0,0,0,2,30,10,Stiv kuling,-16,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,2,21,0,0,0,0,0,0,0,0,0,0,0,0
3017,2017-12-01,5,0,0,0,2,30,10,Stiv kuling,-15,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,2,21,0,0,0,0,0,0,0,0,0,0,0,0
3022,2017-12-01,5,0,0,0,1,30,4,Bris,-16,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,2,10,0,0,0,0,0,0,0,0,0,0,0,0
3023,2017-12-01,5,0,0,0,1,30,4,Bris,-17,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,1,10,0,0,0,0,0,0,0,0
3024,2017-12-01,5,0,0,0,1,30,3,Frisk bris,-14,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,2,10,0,0,0,0,0,0,0,0
3027,2017-12-01,5,0,0,0,2,20,2,Bris,-12,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,2,21,0,0,0,0,0,0,0,0,0,0,0,0
3028,2017-12-01,5,0,0,0,2,10,0,Bris,-17,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,2,10,0,0,0,0,0,0,0,0,0,0,0,0
3029,2017-12-01,5,0,0,0,2,20,0,Bris,-16,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,2,10,0,0,0,0,0,0,0,0,0,0,0,0
3031,2017-12-01,5,0,0,0,2,20,2,Bris,-12,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,1,10,3,19,3,10,0,0,0,0,0,0,0,0
3032,2017-12-01,5,0,0,0,2,20,0,Bris,-17,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,2,10,0,0,0,0,0,0,0,0,0,0,0,0
3034,2017-12-01,5,0,0,0,2,20,0,Bris,-17,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,2,10,3,19,3,10,0,0,0,0,0,0,0,0
3035,2017-12-01,5,0,0,0,1,20,0,Bris,-15,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,2,10,0,0,0,0,0,0,0,0,0,0,0,0
3003,2017-12-02,6,1,0,0,1,10,2,Frisk bris,-12,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,2,10,0,0,0,0,0,0,0,0,0,0,0,0
3007,2017-12-02,6,1,0,0,2,30,3,Bris,-8,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,2,21,0,0,0,0,0,0,0,0
3009,2017-12-02,6,1,0,0,2,30,3,Bris,-12,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,2,21,0,0,0,0,0,0,0,0
3010,2017-12-02,6,1,0,0,2,30,5,Bris,-9,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,2,21,0,0,0,0,0,0,0,0
3011,2017-12-02,6,1,0,0,2,30,4,Bris,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,2,21,0,0,0,0,0,0,0,0
3012,2017-12-02,6,1,0,0,2,30,6,Bris,-6,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,2,21,0,0,0,0,0,0,0,0
3013,2017-12-02,6,1,0,0,2,30,5,Bris,-10,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,2,21,0,0,0,0,0,0,0,0
3014,2017-12-02,6,1,0,0,2,30,9,Frisk bris,-4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,2,21,0,0,0,0,0,0,0,0,0,0,0,0
3015,2017-12-02,6,1,0,0,2,30,12,Bris,-9,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,2,21,3,19,2,10,0,0,0,0,0,0,0,0
3016,2017-12-02,6,1,0,0,3,30,10,Bris,-8,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,3,21,3,13,2,10,0,0,0,0,0,0,0,0
3017,2017-12-02,6,1,0,0,3,30,16,Bris,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,3,21,0,0,0,0,3,13,2,10,0,0,0,0,0,0,0,0
3022,2017-12-02,6,1,0,0,2,30,9,Liten kuling,-5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,2,21,0,0,0,0,0,0,0,0
3023,2017-12-02,6,1,0,0,2,30,12,Liten kuling,-5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,2,21,0,0,0,0,0,0,0,0
3024,2017-12-02,6,1,0,0,2,30,12,Frisk bris,-4,2,0,0,0,0,0,0,0,0,3,24,2,22,0,0,0,0,0,0,0,0,3,11,2,21,0,0,0,0,0,0,0,0
3027,2017-12-02,6,1,0,0,2,30,16,Frisk bris,-4,2,0,0,0,0,0,0,0,0,3,24,2,22,0,0,0,0,0,0,0,0,3,11,2,21,0,0,0,0,0,0,0,0
3028,2017-12-02,6,1,0,0,2,30,2,Stiv kuling,-7,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,2,10,3,11,2,10,0,0,0,0,0,0,0,0
3029,2017-12-02,6,1,0,0,2,30,5,Liten kuling,-6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,2,10,3,11,2,10,0,0,0,0,0,0,0,0
3031,2017-12-02,6,1,0,0,3,30,12,Frisk bris,-4,1,0,0,0,0,0,0,0,0,5,24,2,22,0,0,0,0,0,0,0,0,3,11,2,21,0,0,0,0,0,0,0,0
3032,2017-12-02,6,1,0,0,2,30,0,Liten kuling,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,2,10,0,0,0,0,0,0,0,0,0,0,0,0
3034,2017-12-02,6,1,0,0,3,30,9,Frisk bris,-5,0,0,0,0,0,0,0,0,0,5,24,2,22,0,0,0,0,0,0,0,0,3,11,2,21,0,0,0,0,0,0,0,0
3035,2017-12-02,6,1,0,0,2,30,0,Liten kuling,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,2,10,0,0,0,0,0,0,0,0,0,0,0,0
3003,2017-12-03,7,1,0,0,1,30,5,Frisk bris,-8,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,2,10,0,0,0,0,0,0,0,0,0,0,0,0
3007,2017-12-03,7,1,0,0,2,30,6,Frisk bris,-9,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,2,21,0,0,0,0,0,0,0,0
3009,2017-12-03,7,1,0,0,2,30,9,Frisk bris,-10,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,2,21,0,0,0,0,0,0,0,0
3010,2017-12-03,7,1,0,0,2,30,10,Bris,-10,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,2,21,0,0,0,0,0,0,0,0
3011,2017-12-03,7,1,0,0,2,30,5,Bris,-5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,2,21,0,0,0,0,0,0,0,0
3012,2017-12-03,7,1,0,0,2,30,7,Frisk bris,-7,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,2,21,0,0,0,0,0,0,0,0
3013,2017-12-03,7,1,0,0,2,30,7,Frisk bris,-10,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,2,21,0,0,0,0,0,0,0,0
3014,2017-12-03,7,1,0,0,3,30,5,Liten kuling,-5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,3,21,0,0,0,0,0,0,0,0,0,0,0,0
3015,2017-12-03,7,1,0,0,3,30,16,Frisk bris,-10,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,3,21,3,19,3,10,0,0,0,0,0,0,0,0
3016,2017-12-03,7,1,0,0,3,30,18,Bris,-10,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,3,21,3,13,2,10,0,0,0,0,0,0,0,0
3017,2017-12-03,7,1,0,0,3,30,16,Bris,-8,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,3,21,3,13,2,10,0,0,0,0,0,0,0,0
3022,2017-12-03,7,1,0,0,3,30,16,Liten kuling,-8,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,3,21,0,0,0,0,0,0,0,0
3023,2017-12-03,7,1,0,0,3,30,20,Liten kuling,-7,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,3,21,0,0,0,0,0,0,0,0
3024,2017-12-03,7,1,0,0,3,30,35,Frisk bris,-7,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,3,21,0,0,0,0,0,0,0,0
3027,2017-12-03,7,1,0,0,3,30,20,Frisk bris,-7,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,3,21,0,0,0,0,0,0,0,0
3028,2017-12-03,7,1,0,0,2,30,2,Liten kuling,-10,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,2,10,0,0,0,0,0,0,0,0,0,0,0,0
3029,2017-12-03,7,1,0,0,2,30,5,Frisk bris,-8,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,2,10,0,0,0,0,0,0,0,0,0,0,0,0
3031,2017-12-03,7,1,0,0,2,30,9,Frisk bris,-7,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,3,10,0,0,0,0,0,0,0,0
3032,2017-12-03,7,1,0,0,2,20,0,Liten kuling,-8,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,2,10,0,0,0,0,0,0,0,0,0,0,0,0
3034,2017-12-03,7,1,0,0,2,30,9,Liten kuling,-8,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,3,10,0,0,0,0,0,0,0,0
3035,2017-12-03,7,1,0,0,1,20,0,Liten kuling,-8,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
